Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2015-07-23,8643.95,8654.75,8573.8,8589.8,136962516.0,7747.81
2015-07-22,8512.25,8643.9,8498.65,8633.5,141018383.0,7427.34
2015-07-21,8601.5,8646.75,8517.9,8529.45,169151098.0,10699.52
2015-07-20,8623.9,8624.1,8559.0,8603.45,93439295.0,5107.62
2015-07-17,8623.65,8642.95,8593.15,8609.85,108190401.0,5713.13
2015-07-16,8546.15,8616.1,8542.9,8608.05,119637042.0,6544.15
2015-07-15,8463.4,8531.4,8462.95,8523.8,108835522.0,5805.53
2015-07-14,8470.6,8480.25,8424.1,8454.1,104893796.0,5454.41
2015-07-13,8397.25,8471.65,8355.4,8459.65,121380175.0,6506.28
2015-07-10,8365.7,8377.1,8315.4,8360.55,158883926.0,8128.47
2015-07-09,8364.85,8400.3,8323.0,8328.55,135358659.0,6610.4
2015-07-08,8439.2,8457.5,8341.4,8363.05,193886999.0,8876.81
2015-07-07,8525.5,8561.35,8483.85,8510.8,126038231.0,6054.41
2015-07-06,8386.15,8533.15,8386.15,8522.15,104578132.0,5517.86
2015-07-03,8440.1,8497.75,8424.15,8484.9,91142979.0,4983.21
2015-07-02,8471.95,8479.25,8433.2,8444.9,115472141.0,6065.26
2015-07-01,8376.25,8481.6,8370.15,8453.05,135887471.0,6938.05
2015-06-30,8316.35,8378.0,8298.95,8368.5,163366250.0,8425.52
2015-06-29,8247.05,8329.45,8195.65,8318.4,136106699.0,6604.12
2015-06-26,8393.95,8408.55,8339.7,8381.1,113959476.0,5848.78
2015-06-25,8336.25,8423.15,8329.5,8398.0,207421340.0,9911.16
2015-06-24,8399.4,8421.35,8338.9,8360.85,134062733.0,7175.22
2015-06-23,8377.45,8398.45,8334.95,8381.55,135844708.0,6437.33
2015-06-22,8259.3,8369.45,8257.4,8353.1,126542473.0,6163.02
2015-06-19,8201.15,8250.8,8195.65,8224.95,151575997.0,7722.05
2015-06-18,8113.7,8186.9,8101.8,8174.6,149266110.0,7767.77
2015-06-17,8084.2,8136.85,8048.95,8091.55,157205716.0,7878.66
2015-06-16,8004.2,8061.85,7952.35,8047.3,127809460.0,5923.8
2015-06-15,7986.6,8057.7,7944.85,8013.9,137116389.0,6129.12
2015-06-12,7959.85,7995.6,7940.3,7982.9,140839875.0,6737.25
2015-06-11,8157.3,8163.05,7958.25,7965.35,171348959.0,7868.44
2015-06-10,8024.15,8152.25,8023.8,8124.45,141030200.0,6790.27
